Unnamed: 0,Prompt,Metrics,Original Prompt,Qualified (Y/N),Modified Prompt (If not qualified),data source type
0,"Create a dataframe with the following structure, using different years as row indices and different categories as column names, filling in the corresponding values. The input data should be stored in ""data.csv"" with the following format:
```
时间,品类,指标,地区,周期,单位,数值
2022,农业科技进步贡献率,贡献率,全国,年,%,62.4
2021,农业科技进步贡献率,贡献率,全国,年,%,61.5
2020,化肥有效利用率,利用率,全国,年,%,40.2
2020,农药有效利用率,利用率,全国,年,%,40.6
2020,县域数字农业农村发展总体水平,占比,全国,年,%,37.9
2020,农业科技进步贡献率,贡献率,全国,年,%,60.7
2019,农药有效利用率,利用率,全国,年,%,39.8
2019,化肥有效利用率,利用率,全国,年,%,39.2
2019,县域数字农业农村发展总体水平,占比,全国,年,%,36.0
2019,农业科技进步贡献率,贡献率,全国,年,%,59.2
2018,县域数字农业农村发展总体水平,占比,全国,年,%,33.0
2018,农业科技进步贡献率,贡献率,全国,年,%,58.3
2017,农药有效利用率,利用率,全国,年,%,38.8
2017,化肥有效利用率,利用率,全国,年,%,38.8
2017,农业科技进步贡献率,贡献率,全国,年,%,57.5
2016,农业科技进步贡献率,贡献率,全国,年,%,56.7
2015,农药有效利用率,利用率,全国,年,%,36.6
2015,化肥有效利用率,利用率,全国,年,%,35.2
2015,农业科技进步贡献率,贡献率,全国,年,%,56.1
2014,农业科技进步贡献率,贡献率,全国,年,%,55.6
2013,农药有效利用率,利用率,全国,年,%,35.0
2013,化肥有效利用率,利用率,全国,年,%,33.0
2013,农业科技进步贡献率,贡献率,全国,年,%,55.2
2012,农业科技进步贡献率,贡献率,全国,年,%,54.5
```
The output should be saved in ""output.csv"" in a structured format that allows for easy evaluation of the completion of this task.",data integrity,"Create a dataframe with the following structure, using different years as row indices and different categories as column names, filling in the corresponding values:\n时间,品类,指标,地区,周期,单位,数值\n2022,农业科技进步贡献率,贡献率,全国,年,%,62.4\n2021,农业科技进步贡献率,贡献率,全国,年,%,61.5\n2020,化肥有效利用率,利用率,全国,年,%,40.2\n2020,农药有效利用率,利用率,全国,年,%,40.6\n2020,县域数字农业农村发展总体水平,占比,全国,年,%,37.9\n2020,农业科技进步贡献率,贡献率,全国,年,%,60.7\n2019,农药有效利用率,利用率,全国,年,%,39.8\n2019,化肥有效利用率,利用率,全国,年,%,39.2\n2019,县域数字农业农村发展总体水平,占比,全国,年,%,36.0\n2019,农业科技进步贡献率,贡献率,全国,年,%,59.2\n2018,县域数字农业农村发展总体水平,占比,全国,年,%,33.0\n2018,农业科技进步贡献率,贡献率,全国,年,%,58.3\n2017,农药有效利用率,利用率,全国,年,%,38.8\n2017,化肥有效利用率,利用率,全国,年,%,38.8\n2017,农业科技进步贡献率,贡献率,全国,年,%,57.5\n2016,农业科技进步贡献率,贡献率,全国,年,%,56.7\n2015,农药有效利用率,利用率,全国,年,%,36.6\n2015,化肥有效利用率,利用率,全国,年,%,35.2\n2015,农业科技进步贡献率,贡献率,全国,年,%,56.1\n2014,农业科技进步贡献率,贡献率,全国,年,%,55.6\n2013,农药有效利用率,利用率,全国,年,%,35.0\n2013,化肥有效利用率,利用率,全国,年,%,33.0\n2013,农业科技进步贡献率,贡献率,全国,年,%,55.2\n2012,农业科技进步贡献率,贡献率,全国,年,%,54.5",N,"Create a dataframe with the following structure, using different years as row indices and different categories as column names, filling in the corresponding values. The input data is as follows:
```
时间,品类,指标,地区,周期,单位,数值
2022,农业科技进步贡献率,贡献率,全国,年,%,62.4
2021,农业科技进步贡献率,贡献率,全国,年,%,61.5
2020,化肥有效利用率,利用率,全国,年,%,40.2
2020,农药有效利用率,利用率,全国,年,%,40.6
2020,县域数字农业农村发展总体水平,占比,全国,年,%,37.9
2020,农业科技进步贡献率,贡献率,全国,年,%,60.7
2019,农药有效利用率,利用率,全国,年,%,39.8
2019,化肥有效利用率,利用率,全国,年,%,39.2
2019,县域数字农业农村发展总体水平,占比,全国,年,%,36.0
2019,农业科技进步贡献率,贡献率,全国,年,%,59.2
2018,县域数字农业农村发展总体水平,占比,全国,年,%,33.0
2018,农业科技进步贡献率,贡献率,全国,年,%,58.3
2017,农药有效利用率,利用率,全国,年,%,38.8
2017,化肥有效利用率,利用率,全国,年,%,38.8
2017,农业科技进步贡献率,贡献率,全国,年,%,57.5
2016,农业科技进步贡献率,贡献率,全国,年,%,56.7
2015,农药有效利用率,利用率,全国,年,%,36.6
2015,化肥有效利用率,利用率,全国,年,%,35.2
2015,农业科技进步贡献率,贡献率,全国,年,%,56.1
2014,农业科技进步贡献率,贡献率,全国,年,%,55.6
2013,农药有效利用率,利用率,全国,年,%,35.0
2013,化肥有效利用率,利用率,全国,年,%,33.0
2013,农业科技进步贡献率,贡献率,全国,年,%,55.2
2012,农业科技进步贡献率,贡献率,全国,年,%,54.5
```
The output should be saved in ""output.csv"".",1=no dependency
1,"Please complete the following task using Python:\n Open the 'sheet1' worksheet of the Excel file source.xlsx, and filter the rows where the value in column D is greater than or equal to 8 and less than 8.0010, at the same time, the value in column F should be equal to 18, and the value in column G should be greater than the value of the second row in column G. Copy the values from the filtered rows in column G and write them into the 'sheet1' worksheet in another Excel file target.xlsx. The file target.xlsx does not exist yet: create it with a single worksheet named 'sheet1' where the first row contains the header G and the rows below contain the selected values in their original order.",data integrity,"Please complete the following task using Python: \nOpen the 'sheet1' worksheet of the Excel file source.xlsx, and filter the rows where the value in column D is greater than or equal to 8 and less than 8.0010, at the same time, the value in column F should be equal to 18, and the value in column G should be greater than the value of the second row in column G. Copy the values from the filtered rows in column G and paste them into the corresponding cells of the 'sheet1' worksheet in another Excel file target.xlsx.",N,"Please complete the following task using Python:\n Open the 'sheet1' worksheet of the Excel file source.xlsx, and filter the rows where the value in column D is greater than or equal to 8 and less than 8.0010, at the same time, the value in column F should be equal to 18, and the value in column G should be greater than the value of the second row in column G. Copy the values from the filtered rows in column G and write them into the 'sheet1' worksheet in another Excel file target.xlsx. The file target.xlsx does not exist yet: create it with a single worksheet named 'sheet1' where the first row contains the header G and the rows below contain the selected values in their original order.",3=human written data
2,"Complete the following task based on Python:\nTask requirements: Use Short-Time Fourier Transform (STFT) to process time series data (training set ""train.csv"" and test set ""test.csv"") to obtain spectral images, and then classify the spectral images using a Convolutional Neural Network (CNN).\nSuggested steps:\n(1) Data feature analysis: Analyze the dataset (input: ""train.csv"", output: ""data_analysis.txt""). Each sample is a one-dimensional time series, which can be directly plotted as a time series curve to observe the features from the curve. In practice, the sample curves of class 0 tend to have a stable period and amplitude, while the samples of class 1 do not converge. The file ""data_analysis.txt"" must be a text report that gives summary statistics of the samples and describes the observed differences between class 0 and class 1.\n(2) Sample filtering: Remove any abnormal training samples (input: ""train.csv"", output: ""filtered_train.csv"").\n(3) Time series feature extraction: Use STFT to process the sample data and obtain spectral images (input: ""filtered_train.csv"", output: ""spectral_images_train.csv""). In the spectrum, the samples of class 0 present clear banded patterns due to their stable period and amplitude, while the samples of class 1 are chaotic.\n(4) Model training: Train the CNN with the spectral images from the training data to obtain the trained model (input: ""spectral_images_train.csv"", output: ""cnn_model.h5"").\n(5) Model testing: Evaluate the model's output on the test set (input: ""test.csv"" and ""cnn_model.h5"", output: ""model_evaluation_results.csv""). The file ""model_evaluation_results.csv"" must contain one row per test sample, in the same order as ""test.csv"", and its last column must hold the predicted class label of that sample.","data integrity,visualization,acc,precision,f1","Complete the following task based on Python:\nTask requirements: Use Short-Time Fourier Transform (STFT) to process time series data (training set train.csv, and test set test.csv) to obtain spectral images, and then classify the spectral images using a Convolutional Neural Network (CNN).\nSuggested steps:\n(1) Data feature analysis: This dataset contains 2 classes. Each sample is a one-dimensional time series, which can be directly plotted as a time series curve to observe the features from the curve. In practice, the sample curves of class 0 tend to have a stable period and amplitude, while the samples of class 1 do not converge.\n(2) Sample filtering: Remove any abnormal training samples.\n(3) Time series feature extraction: Use STFT to process the sample data and obtain spectral images. In the spectrum, the samples of class 0 present clear banded patterns due to their stable period and amplitude, while the samples of class 1 are chaotic.\n(4) Model training: Train the CNN with the spectral images from the training data to obtain the trained model.\n(5) Model testing: Evaluate the model's output on the test set.",N,"Complete the following task based on Python:\nTask requirements: Use Short-Time Fourier Transform (STFT) to process time series data (training set ""train.csv"" and test set ""test.csv"") to obtain spectral images, and then classify the spectral images using a Convolutional Neural Network (CNN).\nSuggested steps:\n(1) Data feature analysis: Analyze the dataset (input: ""train.csv"", output: ""data_analysis.txt""). Each sample is a one-dimensional time series, which can be directly plotted as a time series curve to observe the features from the curve. In practice, the sample curves of class 0 tend to have a stable period and amplitude, while the samples of class 1 do not converge. The file ""data_analysis.txt"" must be a text report that gives summary statistics of the samples and describes the observed differences between class 0 and class 1.\n(2) Sample filtering: Remove any abnormal training samples (input: ""train.csv"", output: ""filtered_train.csv"").\n(3) Time series feature extraction: Use STFT to process the sample data and obtain spectral images (input: ""filtered_train.csv"", output: ""spectral_images_train.csv""). In the spectrum, the samples of class 0 present clear banded patterns due to their stable period and amplitude, while the samples of class 1 are chaotic.\n(4) Model training: Train the CNN with the spectral images from the training data to obtain the trained model (input: ""spectral_images_train.csv"", output: ""cnn_model.h5"").\n(5) Model testing: Evaluate the model's output on the test set (input: ""test.csv"" and ""cnn_model.h5"", output: ""model_evaluation_results.csv""). The file ""model_evaluation_results.csv"" must contain one row per test sample, in the same order as ""test.csv"", and its last column must hold the predicted class label of that sample.",3=human written data
3,"Please write a segment of Python code that uses the `normalize` method in pandas to extract data from a JSON file into a table. The JSON input file will be named ""data.json"" and should be structured as follows:

```json
{
  ""data"": [
    {
      ""上映年份"": ""2021"",
      ""制片地区"": ""中国"",
      ""导演"": ""陈凯歌 *"",
      ""提交人"": ""zhchl@fckj"",
      ""电影名称"": ""长津湖"",
      ""票房"": ""577524"",
      ""评分"": ""7.6""
    },
    {
      ""上映年份"": ""2017"",
      ""制片地区"": ""中国"",
      ""导演"": ""吴京"",
      ""提交人"": ""zhchl@fckj"",
      ""电影名称"": ""战狼2"",
      ""票房"": ""569456"",
      ""评分"": ""7.1""
    }
  ]
}
```

The output of the code should be a CSV file named ""output.csv"" containing the normalized data extracted from the JSON input file. Ensure that the structure of the CSV file clearly represents each attribute as a column for further evaluation.",data integrity,"Please write a segment of Python code that uses the `normalize` method in pandas to extract data from a JSON file into a table: \n```json\n\""data\"": [\n {\n \""上映年份\"": \""2021\"",\n \""制片地区\"": \""中国\"",\n \""导演\"": \""陈凯歌 *\"",\n \""提交人\"": \""zhchl@fckj\"",\n \""电影名称\"": \""长津湖\"",\n \""票房\"": \""577524\"",\n \""评分\"": \""7.6\""\n },\n {\n \""上映年份\"": \""2017\"",\n \""制片地区\"": \""中国\"",\n \""导演\"": \""吴京\"",\n \""提交人\"": \""zhchl@fckj\"",\n \""电影名称\"": \""战狼2\"",\n \""票房\"": \""569456\"",\n \""评分\"": \""7.1\""\n }\n]\n```",N,"Please write a segment of Python code that uses the `normalize` method in pandas to extract data from a JSON file into a table. The JSON input is as follows:

```json
{
  ""data"": [
    {
      ""上映年份"": ""2021"",
      ""制片地区"": ""中国"",
      ""导演"": ""陈凯歌 *"",
      ""提交人"": ""zhchl@fckj"",
      ""电影名称"": ""长津湖"",
      ""票房"": ""577524"",
      ""评分"": ""7.6""
    },
    {
      ""上映年份"": ""2017"",
      ""制片地区"": ""中国"",
      ""导演"": ""吴京"",
      ""提交人"": ""zhchl@fckj"",
      ""电影名称"": ""战狼2"",
      ""票房"": ""569456"",
      ""评分"": ""7.1""
    }
  ]
}
```

The output of the code should be a CSV file named ""output.csv"" containing the normalized data extracted from the JSON input. Ensure that the structure of the CSV file clearly represents each attribute as a column for further evaluation.",1=no dependency
4,"Write code to implement a sliding window based method to detect outliers in time series data. Use the ""closing price"" column in the input file ""ultimate_data.csv"" as the source data. The task should involve the following subtasks:

1. **Detect Outliers**: Identify outliers in the ""closing price"" column using a sliding window technique. Output the results in a CSV file named ""outliers_detected.csv"" with columns for the index, value, and a flag indicating if it is an outlier.

2. **Replace Outliers**: For each detected outlier in the sliding window, replace it with the average of 10 nearby values. Output the smoothed time series data in a CSV file named ""smoothed_data.csv"" that contains the original index and the adjusted closing prices.

3. **Visualize Results**: Create a visual representation (plot) of the original closing prices and the smoothed prices to clearly show the outliers and replacements. Save the plot as an image file named ""outlier_detection_plot.png"".",outliers,Write code to implement a sliding window based method to detect outliers in time series data (closing price column in ultimate_data.csv) and replace the outliers in the window with the average of 10 nearby numbers to smooth the data curve.,N,"Write code to implement a sliding window based method to detect outliers in time series data. Use the ""closing price"" column in the input file ""ultimate_data.csv"" as the source data. The task should involve the following subtasks:

1. Detect Outliers: Identify outliers in the ""closing price"" column using a sliding window technique. Output the results in a CSV file named ""outliers_detected.csv"" with columns for the index, value, and a flag indicating if it is an outlier.

2. Replace Outliers: For each detected outlier in the sliding window, replace it with the average of 10 nearby values. Output the smoothed time series data in a CSV file named ""smoothed_data.csv"" that contains the original index and the adjusted closing prices.

3. Visualize Results: Create a visual representation (plot) of the original closing prices and the smoothed prices to clearly show the outliers and replacements. Save the plot as an image file named ""outlier_detection_plot.png"".",3=human written data
5,"A shopping mall has placed 5 automatic vending machines at different locations, labeled as A, B, C, D, and E. Data 1 (data file: data1.csv) provides the sales data for each vending machine from January 1, 2017, to December 31, 2017, and Data 2 (data file: data2.csv) provides the classification of the goods. Our goal is to read and merge the data from both tables, perform data validation and cleaning, and save the processed results.

Specific requirements are as follows:

1) Use the read_csv function from pandas to read the data from ""data1.csv"" and ""data2.csv"".
   - Output: None
   - Input: data1.csv, data2.csv

2) Use the merge function or join() method from pandas to combine the data and save the merged results.
   - Output: Merged data
   - Output file: merged_data.csv

3) Find and delete duplicate records.
   - Output: Data without duplicates
   - Output file: no_duplicates_data.csv

4) Identify and remove abnormal data. (Delete records with payment amount and actual amount equal to 0; delete data with payment dates on February 29, 2017).
   - Output: Data without abnormal entries
   - Output file: no_abnormal_data.csv

5) Find and handle missing values (for records with a missing due amount but a present actual amount, fill in the due amount with the actual amount; for records with a missing actual amount but a present due amount, fill in the actual amount with the due amount; delete the record if both the actual and due amounts are missing).
   - Output: Data without missing values
   - Output file: filled_missing_data.csv

6) Save the final processed data.
   - Output: Final cleaned data
   - Output file: final_processed_data.csv","data integrity,data consistency,data quality","A shopping mall has placed 5 automatic vending machines at different locations, labeled as A, B, C, D, and E. Data 1 (data file: data1.csv) provides the sales data for each vending machine from January 1, 2017, to December 31, 2017, and Data 2 (data file: data2.csv) provides the classification of the goods. Now we need to read and merge the data from both tables. We also need to perform data validation and cleaning on the merged data, including checking and processing duplicates, inspecting and handling outliers, and identifying and managing missing values.

 Specific requirements are as follows:

 1) Use the read_csv function from pandas to read the data.
 2) Use the merge function or join() method from pandas to combine the data and save the merged results.
 3) Find and delete duplicate records.
 4) Identify and remove abnormal data. (Delete records with payment amount and actual amount equal to 0; delete data with payment dates on February 29, 2017).
 5) Find and handle missing values (for records with a missing due amount but a present actual amount, fill in the due amount with the actual amount; for records with a missing actual amount but a present due amount, fill in the actual amount with the due amount; delete the record if both the actual and due amounts are missing).
 6) Save the processed data.",N,"A shopping mall has placed 5 automatic vending machines at different locations, labeled as A, B, C, D, and E. Data 1 (data file: data1.csv) provides the sales data for each vending machine from January 1, 2017, to December 31, 2017, and Data 2 (data file: data2.csv) provides the classification of the goods. Our goal is to read and merge the data from both tables, perform data validation and cleaning, and save the processed results.

Specific requirements are as follows:

1) Use the read_csv function from pandas to read the data from ""data1.csv"" and ""data2.csv"".

2) Use the merge function or join() method from pandas to combine the data and save the merged results.
   - Output: Merged data
   - Output file: merged_data.csv

3) Find and delete duplicate records.
   - Output: Data without duplicates
   - Output file: no_duplicates_data.csv

4) Identify and remove abnormal data. (Delete records with payment amount and actual amount equal to 0; delete data with payment dates on February 29, 2017).
   - Output: Data without abnormal entries
   - Output file: no_abnormal_data.csv

5) Find and handle missing values (for records with a missing due amount but a present actual amount, fill in the due amount with the actual amount; for records with a missing actual amount but a present due amount, fill in the actual amount with the due amount; delete the record if both the actual and due amounts are missing).
   - Output: Data without missing values
   - Output file: filled_missing_data.csv

6) Save the final processed data.
   - Output: Final cleaned data
   - Output file: final_processed_data.csv",2=open source data
6,"Import re  
Import pandas as pd  

# Extract Chinese, English letters, and numbers from a sentence  
def remove_p(txt):  
    txt1 = str(txt)  
    if txt1.strip() == '':  
        return ''  
    rule = re.compile('[^a-zA-Z0-9\\u4E00-\\u9FA5]')  
    txt2 = rule.sub('', txt1)  
    return txt2  

# Function for stop words  
Import jieba  
def txt_cut(juzi):  
    stopwordslist0 = [line.strip() for line in open('./百度停用词表.txt', encoding='UTF-8').readlines()]  
    lis = [w for w in jieba.cut(juzi) if w not in stopwordslist0]  
    return ' '.join(lis)

Improve the above code according to the following requirements:  
1. Read comment data from ""comments.csv"" and segment the text using remove_p and txt_cut methods. Save the segmentation results to a new column in ""comments_segmented.csv"". Output format: CSV; Filename: ""comments_segmented.csv"".  
2. Implement the bidirectional maximum matching algorithm to segment 1000 collected comment data from ""comments.csv"" and save the results in a new column. Output format: CSV; Filename: ""comments_bidirectional_segmented.csv"".  
3. Use the jieba package to segment and tag the part of speech for 1000 collected comment data from ""comments.csv"". Save the results in a new column. Output format: CSV; Filename: ""comments_pos_tagged.csv"".  
4. Perform word frequency statistics based on the processed comments and generate a word cloud image. Save the word cloud as ""word_cloud.png"". Output format: IMG; Filename: ""word_cloud.png"".","data quality,data integrity","Import re\nImport pandas as pd\n\n# Extract Chinese, English, letters, and numbers from a sentence\ndef remove_p(txt):\n txt1 = str(txt)\n if txt1.strip() == '':\n return ''\n rule = re.compile('[^a-zA-Z0-9\\u4E00-\\u9FA5]')\n txt2 = rule.sub('',txt1)\n return txt2\n\n# Function for stop words\nImport jieba\ndef txt_cut(juzi):\n stopwordslist0 = [line.strip() for line in open('./百度停用词表.txt', encoding='UTF-8').readlines()]\n lis = [w for w in jieba.cut(juzi) if w not in stopwordslist0]\n return ' '.join(lis)\n Improve the above code according to the following requirements:\n1. Use Python to read comment data from a .csv file and segment the text using the following two methods; save the segmentation results to a new column in the original .csv file;\n2. Use the bidirectional maximum matching algorithm to segment 1000 collected comment data;\n3. Use the jieba package to segment and tag the part of speech for 1000 collected comment data;\n4. Perform word frequency statistics and display a word cloud.",N,"Import re  
Import pandas as pd  

# Extract Chinese, English letters, and numbers from a sentence  
def remove_p(txt):  
    txt1 = str(txt)  
    if txt1.strip() == '':  
        return ''  
    rule = re.compile('[^a-zA-Z0-9\\u4E00-\\u9FA5]')  
    txt2 = rule.sub('', txt1)  
    return txt2  

# Function for stop words  
Import jieba  
def txt_cut(juzi):  
    stopwordslist0 = [line.strip() for line in open('./百度停用词表.txt', encoding='UTF-8').readlines()]  
    lis = [w for w in jieba.cut(juzi) if w not in stopwordslist0]  
    return ' '.join(lis)

Improve the above code according to the following requirements:  
1. Read comment data from ""comments.csv"" and segment the text using remove_p and txt_cut methods. Save the segmentation results to a new column in ""comments.csv"".
2. Implement the bidirectional maximum matching algorithm to segment 1000 collected comment data from ""comments.csv"" and save the results in a new column in ""comments.csv"".
3. Use the jieba package to segment and tag the part of speech for 1000 collected comment data from ""comments.csv"". Save the segmentation results to a new column in ""comments.csv"".
4. Perform word frequency statistics based on the processed comments and generate a word cloud image. Save the word cloud as ""word_cloud.png"".",3=human written data
7,"1. There is an Excel spreadsheet named 'data.xlsx' containing 10,000 pieces of data. Each piece of data includes a name, increase rate, data1, data2, data3, data4, data5, data6... up to data15. Input filename: 'data.xlsx'.

2. The increase rate is related to data1, data2, data3, data4, data5, data6... up to data15.

3. Data preprocessing: Clean, deduplicate, and handle missing values in the data to ensure its accuracy and consistency. Output format: CSV. Output filename: 'cleaned_data.csv'.

4. Feature engineering: Based on the available data, extract useful features. Statistical features such as the average, standard deviation, and maximum of the increase rate for each name can be calculated, as well as the correlation features between the increase rate and data1 to data15. Output format: CSV. Output filename: 'features.csv'.

5. Model training: Train machine learning models using historical data, designing linear regression, decision trees, random forests, and neural networks. The purpose of training the models is to find the relationship between the increase rate and data1 to 15, in order to predict tomorrow's increase rate. Output format: Model files (e.g., .pkl or .h5). Output filename: 'trained_models.pkl'.

6. Model evaluation: Use a portion of historical data to evaluate the model, calculating prediction error metrics such as mean squared error and mean absolute error to assess the model's predictive power. Output format: CSV. Output filename: 'evaluation_metrics.csv'.

7. Model application: Use the trained model to predict new data, obtaining the probability or predicted value of the increase rate for each name. Input filename: 'new_data.csv'. Output format: CSV. Output filename: 'predictions.csv'.

8. Result visualization: Visualize the prediction results, using line graphs, bar charts, etc., to display the trends in predicted increase rates for better understanding and analysis of the results. Output format: Image (e.g., PNG or JPEG). Output filename: 'visualization.png'.

9. Write the code for the above functions to ensure each task can be replicated and validated. Output format: Python file. Output filename: 'data_science_pipeline.py'.","data integrity,data consistency,data quality,mae,rmse,visualization","1. There is an Excel spreadsheet named 'data.xlsx' containing 10,000 pieces of data. Each piece of data includes a name, increase rate, data1, data2, data3, data4, data5, data6... up to data15.
 2. The increase rate is related to data1, data2, data3, data4, data5, data6... up to data15.
 3. Data preprocessing: Clean, deduplicate, and handle missing values in the data to ensure its accuracy and consistency.
 4. Feature engineering: Based on the available data, extract useful features. Statistical features such as the average, standard deviation, and maximum of the increase rate for each name can be calculated, as well as the correlation features between the increase rate and data1 to data15.
 5. Model training: Train machine learning models using historical data, designing linear regression, decision trees, random forests, and neural networks. The purpose of training the models is to find the relationship between the increase rate and data1 to 15, in order to predict tomorrow's increase rate.
 6. Model evaluation: Use a portion of historical data to evaluate the model, calculating prediction error metrics such as mean squared error and mean absolute error to assess the model's predictive power.
 7. Model application: Use the trained model to predict new data, obtaining the probability or predicted value of the increase rate for each name.
 8. Result visualization: Visualize the prediction results, using line graphs, bar charts, etc., to display the trends in predicted increase rates for better understanding and analysis of the results.
 9. Write the code for the above functions.",N,"1. There is an Excel spreadsheet named 'data.xlsx' containing 10,000 pieces of data. Each piece of data includes a name, increase rate, data1, data2, data3, data4, data5, data6... up to data15. Input filename: 'data.xlsx'.

2. The increase rate is related to data1, data2, data3, data4, data5, data6... up to data15.

3. Data preprocessing: Clean, deduplicate, and handle missing values in the data to ensure its accuracy and consistency. Output format: CSV. Output filename: 'cleaned_data.csv'.

4. Feature engineering: Based on the available data, extract useful features. Statistical features such as the average, standard deviation, and maximum of the increase rate for each name can be calculated, as well as the correlation features between the increase rate and data1 to data15. Output format: CSV. Output filename: 'features.csv'.

5. Model training: Train machine learning models using historical data, designing linear regression, decision trees, random forests, and neural networks. The purpose of training the models is to find the relationship between the increase rate and data1 to 15, in order to predict tomorrow's increase rate. Output format: Model files (.pkl). Output filename: 'trained_models.pkl'.

6. Model evaluation: Use a portion of historical data to evaluate the model, calculating prediction error metrics such as mean squared error and mean absolute error to assess the model's predictive power. Output format: CSV. Output filename: 'evaluation_metrics.csv'.

7. Model application: Use the trained model to predict new data, obtaining the probability or predicted value of the increase rate for each name. Input filename: 'new_data.csv'. Output format: CSV. Output filename: 'predictions.csv'.

8. Result visualization: Visualize the prediction results, using line graphs, bar charts, etc., to display the trends in predicted increase rates for better understanding and analysis of the results. Output format: Image. Output filename: 'visualization.png'.

Write the code for the above functions to ensure each task can be replicated and validated.",3=human written data
8,"Use PyTorch, with datasets 'positive.csv' and 'negative.csv', each with 200 positive and negative samples, to perform binary classification with a BP neural network. Requirements are as follows:

1. Design a BP neural network with 3 hidden layers, where the input layer dimension is the sample dimension; the hidden layer dimensions are 128, 32, and 2 respectively.  
   **Output:** Model architecture description in 'model_architecture.txt'.

2. Use the ReLU activation function for the hidden layers; the output layer has a dimension of 1 and uses the sigmoid activation function.  
   **Output:** Model configuration parameters in 'model_config.json'.

3. Train the model using 'positive.csv' and 'negative.csv' as inputs.  
   **Output:** Training loss and accuracy over epochs in 'training_metrics.csv'.

4. Evaluate the model on a test set (to be prepared from the input datasets).  
   **Output:** Evaluation metrics (accuracy, precision, recall, F1 score) in 'evaluation_metrics.csv'.

5. Generate confusion matrix and ROC curve for model performance visualization.  
   **Output:** Confusion matrix image in 'confusion_matrix.png' and ROC curve image in 'roc_curve.png'.","consistency,acc,precision,recall,f1","Use PyTorch, with datasets 'positive.csv' and 'negative.csv', each with 200 positive and negative samples, to perform binary classification with a BP neural network. Requirements are as follows:\n1. Design a BP neural network with 3 hidden layers, where the input layer dimension is the sample dimension; the hidden layer dimensions are 128, 32, and 2 respectively.\n2. Use the ReLU activation function for the hidden layers; the output layer has a dimension of 1 and uses the sigmoid activation function.",N,"Use PyTorch, with datasets 'positive.csv' and 'negative.csv', each with 200 positive and negative samples, to perform binary classification with a BP neural network. Requirements are as follows:

1. Design a BP neural network with 3 hidden layers, where the input layer dimension is the sample dimension; the hidden layer dimensions are 128, 32, and 2 respectively.  

2. Use the ReLU activation function for the hidden layers; the output layer has a dimension of 1 and uses the sigmoid activation function.  

3. Train the model using 'positive.csv' and 'negative.csv' as inputs.  

4. Evaluate the model on a test set (to be prepared from the input datasets).  

5. Generate confusion matrix and ROC curve for model performance visualization. Output: Confusion matrix image in 'confusion_matrix.png' and ROC curve image in 'roc_curve.png'.",3=human written data
9,"The file 'stock_trading_data_close.csv' contains the closing price data of each individual stock for the past two years, and the file 'stock_info_data.csv' contains industry classification information for each individual stock. Please implement the following in Python:

1. Define a strong stock: The closing price on a given day is greater than the 60-day moving average of the closing price, and the value of the 5-day moving average of the closing price is greater than the 20-day moving average value.  
   **Input:** 'stock_trading_data_close.csv'  
   **Output:** 'strong_stocks.csv' (columns: stock_name, analysis_date, is_strong)

2. Set the analysis date to the last trading day.  
   **Output:** 'analysis_date.txt' (content: analysis_date)

3. Find the strong stocks on the analysis date.  
   **Input:** 'strong_stocks.csv', 'analysis_date.txt'  
   **Output:** 'strong_stocks_on_analysis_date.csv' (columns: stock_name, analysis_date)

4. Group the strong stocks by industry and count the number of strong stocks in each industry.  
   **Input:** 'strong_stocks_on_analysis_date.csv', 'stock_info_data.csv'  
   **Output:** 'strong_stocks_by_industry_count.csv' (columns: industry, count)

5. Group all stocks by industry and count the number of stocks in each industry.  
   **Input:** 'stock_info_data.csv'  
   **Output:** 'all_stocks_by_industry_count.csv' (columns: industry, total_count)","data integrity,statistics","The file 'stock_trading_data_close.csv' contains the closing price data of each individual stock for the past two years, and the file 'stock_info_data.csv' contains industry classification information for each individual stock. Please implement the following in Python:

 1. Define a strong stock: The closing price on a given day is greater than the 60-day moving average of the closing price, and the value of the 5-day moving average of the closing price is greater than the 20-day moving average value;
 2. Set the analysis date to the last trading day;
 3. Find the strong stocks on the analysis date;
 4. Group the strong stocks by industry and count the number of strong stocks in each industry;
 5. Group all stocks by industry and count the number of stocks in each industry.",N,"The file 'stock_trading_data_close.csv' contains the closing price data of each individual stock for the past two years, and the file 'stock_info_data.csv' contains industry classification information for each individual stock. Please implement the following in Python:

1. Define a strong stock: The closing price on a given day is greater than the 60-day moving average of the closing price, and the value of the 5-day moving average of the closing price is greater than the 20-day moving average value.  

2. Set the analysis date to the last trading day. 

3. Find the strong stocks on the analysis date. 

4. Group the strong stocks by industry and count the number of strong stocks in each industry. Output: 'strong_stocks_by_industry_count.csv' (columns: industry, count)

5. Group all stocks by industry and count the number of stocks in each industry.  Output: 'all_stocks_by_industry_count.csv' (columns: industry, total_count)",3=human written data
